char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
呺,呺,U+547A,xiāo háo,xiao hao,xiāo,"10600.050:xiāo,háo","voice of anger vast, spacious","kMandarin,kHanyuPinyin"
呼,呼,U+547C,hū xiāo xū hè xià,hu xiao xu he xia,hū,"10605.020:hū,xiāo,xū,hè,xià","breathe sigh, exhale; call, shout","kMandarin,kHanyuPinyin"
呾,呾,U+547E,dá yà tǎ dàn,da ya ta dan,dá,"10600.010:dá,yà,tǎ,dàn",,"kMandarin,kHanyuPinyin"
呿,呿,U+547F,qù kā,qu ka,qù,"10597.100:qù,kā",to yawn,"kMandarin,kHanyuPinyin"
咁,咁,U+5481,hán xián gàn,han xian gan,hán,"10598.010:hán,xián,gàn","(Cant.) like this, in this way; so, to such an extent","kMandarin,kHanyuPinyin"
咇,咇,U+5487,bì bié,bi bie,bì,"10608.130:bié,bì",fragrant; (Cant.) to eject,"kMandarin,kHanyuPinyin"
咋,咋,U+548B,zǎ zé zhà zhā,za ze zha,zǎ,"10601.090:zé,zhà,zǎ,zhā","question-forming particle, why? how? what?; to bite; loud","kMandarin,kHanyuPinyin"
和,和,U+548C,hé hè huò huó hú,he huo hu,hé,"10602.010:hè,hé,huò,huó,hú","harmony, peace; peaceful, calm","kMandarin,kHanyuPinyin"
咍,咍,U+548D,hāi tāi,hai tai,hāi,"10610.070:hāi,tāi",laugh,"kMandarin,kHanyuPinyin"
咎,咎,U+548E,jiù gāo,jiu gao,jiù,"10607.060:jiù,gāo","fault, defect; error, mistake","kMandarin,kHanyuPinyin"
咔,咔,U+5494,kā nòng kǎ,ka nong,kā,"10599.140:nòng,kā,kǎ",used in translation,"kMandarin,kHanyuPinyin"
咖,咖,U+5496,kā jiā gā,ka jia ga,kā,"10610.060:jiā,gā,kā",coffee; a phonetic,"kMandarin,kHanyuPinyin"
咣,咣,U+54A3,guāng gōng,guang gong,guāng,"10615.010:gōng,guāng",the sound of large door closing,"kMandarin,kHanyuPinyin"
